words,sentiment_coeff
like,-46.014240492796475
school,-47.59048980987125
thing,-49.6987727061512
going,-46.82399399991673
think,46.0298035322782
know,-44.13337195339871
kid,45.530931275374144
really,48.49418971303153
get,52.84214165059096
time,53.99770528443802
would,-49.79578126309311
one,54.069152303253915
go,50.55195156124975
even,48.459089392400145
lot,48.26523586993763
mean,-47.48035920330575
also,-54.12737908156156
want,49.13742515181108
much,43.84777775507353
home,46.96815088972194
see,-53.975607996194945
teacher,52.579570884974686
computer,-54.880444699039316
friend,42.79527557715689
son,-58.346325745819726
work,51.61492274588586
well,54.62438392070609
something,54.0165099250324
day,-43.97046821199245
still,-49.01791493312473
actually,-51.77364529719696
cannot,-48.346261241656435
kind,51.30002994939215
say,50.86001073732962
able,-55.04881759908612
way,48.491038457510506
class,46.81796785367994
could,48.384525603101324
yeah,49.67292503613501
said,-52.779941072184734
inaudible,41.65941433115917
got,-57.056294808381715
use,44.10906890568127
need,44.10897748003569
people,-47.97542882790331
good,-47.30031944071573
phone,55.81467910183493
technology,44.74977391744822
feel_like,-54.535504704928066
back,49.84265325077595
stuff,-43.2296939813488
daughter,45.755597670570126
year,52.72051144954132
pandemic,-44.87155500921641
little,47.42274209771833
child,46.736750371701596
always,47.2754693852836
game,50.0085760460584
okay,45.169686503188295
hard,-42.66285013318978
screen,-46.59806945539598
u,45.032356028453265
take,50.42962495729042
person,46.10356937436779
better,49.744172299843335
positive,-45.271483210467665
parent,-51.681807883092745
two,-44.0389758220521
right,-51.67174738642554
getting,50.02466387458702
online,48.204633937664646
issue,-52.00687788762532
used,-47.60444566130014
maybe,-49.76544542026132
room,-47.4225371956836
social_medium,51.50582326139046
remote,53.88972626782884
great,-50.70308663958053
year_old,-47.88308210709289
whatever,-48.04764643332799
go_back,46.29192122623766
make,-46.82215695218551
help,48.145095847170424
learning,-44.37103408623363
anything,-44.823235534425294
sometimes,45.73688295542949
different,50.261444908993795
put,45.471392486393796
give,49.5055002048911
done,-45.344949094429644
crosstalk,-40.9691643829587
zoom,-44.36441369769051
started,49.090661872300004
everything,45.391835438420046
youtube,60.41945749101106
week,52.78744424050172
device,-45.694058463241326
little_bit,-48.48899029569159
problem,45.4565503921943
definitely,48.883579714861405
sort,52.467374236488695
first,-44.75886960250956
back_school,37.44943660905101
parent_child,46.58064755991743
trying,43.336230435040584
around,-48.34216355993269
tell,-55.93532187797578
homework,44.92056480239995
whole,42.02815242317384
start,-50.58575107999556
least,46.97337457660492
control,45.56799754789132
went,-44.237039527641194
